,Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,eligible,Singleton,Small_Family,Large_Family,total_income,debt_income_ratio
0,1,0,0,0,5849,0.0,128,360,1,2,1,0,0,0,5849,45
1,1,1,0,0,4583,1508.0,128,360,1,0,1,1,0,0,6091,47
2,1,1,0,1,3000,0.0,66,360,1,2,1,0,0,0,3000,45
3,1,1,1,0,2583,2358.0,120,360,1,2,1,0,0,0,4941,41
4,1,0,0,0,6000,0.0,141,360,1,2,1,0,0,0,6000,42
5,1,1,0,1,5417,4196.0,267,360,1,2,1,0,1,0,9613,36
6,1,1,1,0,2333,1516.0,95,360,1,2,1,0,0,0,3849,40
7,1,1,0,0,3036,2504.0,158,360,0,1,1,0,0,1,5540,35
8,1,1,0,0,4006,1526.0,168,360,1,2,0,0,1,0,5532,32
9,1,1,0,0,12841,10968.0,349,360,1,1,1,1,0,0,23809,68
10,1,1,0,0,3200,700.0,70,360,1,2,1,0,1,0,3900,55
11,1,1,0,0,2500,1840.0,109,360,1,2,1,0,1,0,4340,39
12,1,1,0,0,3073,8106.0,200,360,1,2,1,0,1,0,11179,55
13,1,0,0,0,1853,2840.0,114,360,1,0,1,0,0,0,4693,41
14,1,1,0,0,1299,1086.0,17,120,1,2,1,0,1,0,2385,140
15,1,0,0,0,4950,0.0,125,360,1,2,1,0,0,0,4950,39
16,1,0,1,0,3596,0.0,100,240,2,2,0,1,0,0,3596,35
17,0,0,0,0,3510,0.0,76,360,0,2,1,0,0,0,3510,46
18,1,1,1,0,4887,0.0,133,360,1,0,1,0,0,0,4887,36
19,1,1,0,0,2600,3500.0,115,360,1,2,1,0,0,0,6100,53
20,1,1,1,0,7660,0.0,104,360,0,2,1,0,0,0,7660,73
21,1,1,0,0,5955,5625.0,315,360,1,2,1,1,0,0,11580,36
22,1,1,1,0,2600,1911.0,116,360,0,1,1,0,0,0,4511,38
23,1,1,1,0,3365,1917.0,112,360,0,0,1,0,1,0,5282,47
24,1,1,0,0,3717,2925.0,151,360,2,1,1,1,0,0,6642,43
25,1,1,0,1,9560,0.0,191,360,1,1,1,0,0,0,9560,50
26,1,1,0,0,2799,2253.0,122,360,1,1,1,0,0,0,5052,41
27,1,1,1,0,4226,1040.0,110,360,1,2,1,0,1,0,5266,47
28,1,0,1,0,1442,0.0,35,360,1,2,1,0,0,0,1442,41
29,0,0,0,0,3750,2083.0,120,360,1,1,1,0,1,0,5833,48
30,1,1,0,0,4166,3369.0,201,360,2,2,1,1,0,0,7535,37
31,1,0,0,0,3167,0.0,74,360,1,2,1,0,0,0,3167,42
32,1,0,0,1,4692,0.0,106,360,1,0,1,1,0,0,4692,44
33,1,1,0,0,3500,1667.0,114,360,1,1,1,0,0,0,5167,45
34,1,0,0,0,12500,3000.0,320,360,1,0,1,0,0,1,15500,48
35,1,1,0,0,2275,2067.0,128,360,1,2,1,0,0,0,4342,33
36,1,1,0,0,1828,1330.0,100,360,0,2,0,0,0,0,3158,31
37,0,1,0,0,3667,1459.0,144,360,1,1,1,0,0,0,5126,35
38,1,0,0,0,4166,7210.0,184,360,1,2,1,0,0,0,11376,61
39,1,0,1,0,3748,1668.0,110,360,1,1,1,0,0,0,5416,49
40,1,0,0,0,3600,0.0,80,360,1,2,1,0,0,0,3600,45
41,1,0,0,0,1800,1213.0,47,360,1,2,1,0,0,0,3013,64
42,1,1,0,0,2400,0.0,75,360,2,2,0,0,0,0,2400,32
43,1,1,0,0,3941,2336.0,134,360,1,1,1,0,0,0,6277,46
44,1,1,1,1,4695,0.0,96,360,1,2,1,0,0,0,4695,48
45,0,0,0,0,3410,0.0,88,360,1,2,1,0,0,0,3410,38
46,1,1,0,0,5649,0.0,44,360,1,2,1,1,0,0,5649,128
47,1,1,0,0,5821,0.0,144,360,1,2,1,0,0,0,5821,40
48,0,1,0,0,2645,3440.0,120,360,0,2,1,0,0,0,6085,50
49,0,0,0,0,4000,2275.0,144,360,1,1,1,0,0,0,6275,43
50,0,1,1,0,1928,1644.0,100,360,1,1,1,0,0,0,3572,35
51,0,0,0,0,3086,0.0,120,360,1,1,0,0,0,0,3086,25
